trip_id,date,time,route_id,route_name,transport_type,vehicle_id,source_stop,destination_stop,distance_km,vehicle_capacity,passenger_count,ticket_price,revenue,delay_minutes,travel_time_mins,status
TRIP-10017,2024-01-01,20:10:30,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U406,State University North Gate,City Commercial Center,11.0,60,53,20.0,1060.0,0,32,On-Time
TRIP-10018,2024-01-01,21:15:00,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U406,State University North Gate,City Commercial Center,11.0,60,30,20.0,600.0,0,32,On-Time
TRIP-10019,2024-01-01,07:10:45,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-03,North Ridge Terminal,Tech Valley Central,24.5,320,189,45.0,8505.0,0,35,On-Time
TRIP-10020,2024-01-01,09:15:45,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-09,North Ridge Terminal,Tech Valley Central,24.5,320,345,45.0,15525.0,7,41,Moderate Delay
TRIP-10021,2024-01-01,13:20:30,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-09,North Ridge Terminal,Tech Valley Central,24.5,320,172,45.0,7740.0,0,35,On-Time
TRIP-10022,2024-01-01,15:50:00,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-04,North Ridge Terminal,Tech Valley Central,24.5,320,194,45.0,8730.0,1,35,On-Time
TRIP-10023,2024-01-01,21:20:00,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-01,North Ridge Terminal,Tech Valley Central,24.5,320,129,45.0,5805.0,0,35,On-Time
TRIP-10024,2024-01-01,08:20:15,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-04,East Suburb Terminal,Financial District Hub,21.0,320,345,40.0,13800.0,0,30,On-Time
TRIP-10025,2024-01-01,10:50:45,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-07,East Suburb Terminal,Financial District Hub,21.0,320,262,40.0,10480.0,7,34,Moderate Delay
TRIP-10026,2024-01-01,13:50:00,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-07,East Suburb Terminal,Financial District Hub,21.0,320,192,40.0,7680.0,0,30,On-Time
TRIP-10027,2024-01-01,16:40:00,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-03,East Suburb Terminal,Financial District Hub,21.0,320,237,40.0,9480.0,8,34,Moderate Delay
TRIP-10028,2024-01-01,21:30:45,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-09,East Suburb Terminal,Financial District Hub,21.0,320,140,40.0,5600.0,0,30,On-Time
TRIP-10029,2024-01-01,06:10:15,RAIL-CST,Suburban Rail: Coast Line ⇄ Old City Junction,Suburban Rail,RAIL-EMU-504,Coastal Harbor Junction,Old City Main Junction,38.0,750,170,25.0,4250.0,0,55,On-Time
TRIP-10030,2024-01-01,07:00:15,RAIL-CST,Suburban Rail: Coast Line ⇄ Old City Junction,Suburban Rail,RAIL-EMU-507,Coastal Harbor Junction,Old City Main Junction,38.0,750,374,25.0,9350.0,0,55,On-Time
TRIP-10031,2024-01-01,15:50:15,RAIL-EXT,Suburban Rail: Industrial Corridor ⇄ South Terminal,Suburban Rail,RAIL-EMU-605,Northern Industrial Zone,South Terminal Intermodal,42.5,750,443,30.0,13290.0,1,65,On-Time
TRIP-10032,2024-01-01,17:00:30,RAIL-EXT,Suburban Rail: Industrial Corridor ⇄ South Terminal,Suburban Rail,RAIL-EMU-607,Northern Industrial Zone,South Terminal Intermodal,42.5,750,694,30.0,20820.0,0,65,On-Time
TRIP-10033,2024-01-01,19:15:00,RAIL-EXT,Suburban Rail: Industrial Corridor ⇄ South Terminal,Suburban Rail,RAIL-EMU-601,Northern Industrial Zone,South Terminal Intermodal,42.5,750,810,30.0,24300.0,8,69,Moderate Delay
TRIP-10034,2024-01-01,07:00:00,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-05,East Ring Hub,West Ring Hub,18.0,85,43,35.0,1505.0,0,32,On-Time
TRIP-10035,2024-01-01,09:20:30,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-02,East Ring Hub,West Ring Hub,18.0,85,91,35.0,3185.0,23,47,Major Delay
TRIP-10036,2024-01-01,13:00:45,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-04,East Ring Hub,West Ring Hub,18.0,85,50,35.0,1750.0,0,32,On-Time
TRIP-10037,2024-01-01,15:30:15,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-06,East Ring Hub,West Ring Hub,18.0,85,67,35.0,2345.0,0,32,On-Time
TRIP-10038,2024-01-01,18:30:15,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-01,East Ring Hub,West Ring Hub,18.0,85,91,35.0,3185.0,0,32,On-Time
TRIP-10039,2024-01-02,08:10:00,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E106,Central Railway Station,Cyber City Tech Park,16.5,60,64,30.0,1920.0,22,61,Major Delay
TRIP-10040,2024-01-02,09:20:30,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E107,Central Railway Station,Cyber City Tech Park,16.5,60,64,30.0,1920.0,7,48,Moderate Delay
TRIP-10041,2024-01-02,10:30:00,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E105,Central Railway Station,Cyber City Tech Park,16.5,60,45,30.0,1350.0,0,45,On-Time
TRIP-10042,2024-01-02,15:15:45,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E102,Central Railway Station,Cyber City Tech Park,16.5,60,41,30.0,1230.0,0,45,On-Time
TRIP-10043,2024-01-02,20:15:00,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E103,Central Railway Station,Cyber City Tech Park,16.5,60,53,30.0,1590.0,0,45,On-Time
TRIP-10044,2024-01-02,15:00:30,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A209,International Airport Terminal 2,Downtown Central Terminal,28.0,50,29,90.0,2610.0,2,61,On-Time
TRIP-10045,2024-01-02,17:45:15,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A203,International Airport Terminal 2,Downtown Central Terminal,28.0,50,54,90.0,4860.0,14,72,Moderate Delay
TRIP-10046,2024-01-02,20:45:00,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A207,International Airport Terminal 2,Downtown Central Terminal,28.0,50,34,90.0,3060.0,0,60,On-Time
TRIP-10047,2024-01-02,08:10:45,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W308,Westside Mall Circle,South Harbor Port Gate,14.2,60,64,25.0,1600.0,0,38,On-Time
TRIP-10048,2024-01-02,13:40:30,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W304,Westside Mall Circle,South Harbor Port Gate,14.2,60,38,25.0,950.0,0,38,On-Time
TRIP-10049,2024-01-02,14:45:30,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W309,Westside Mall Circle,South Harbor Port Gate,14.2,60,32,25.0,800.0,5,41,Moderate Delay
TRIP-10050,2024-01-02,17:45:30,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W305,Westside Mall Circle,South Harbor Port Gate,14.2,60,64,25.0,1600.0,20,49,Major Delay
TRIP-10051,2024-01-02,18:00:00,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W309,Westside Mall Circle,South Harbor Port Gate,14.2,60,64,25.0,1600.0,24,54,Major Delay
TRIP-10052,2024-01-02,10:00:45,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U404,State University North Gate,City Commercial Center,11.0,60,45,20.0,900.0,0,32,On-Time
TRIP-10053,2024-01-02,12:40:45,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U406,State University North Gate,City Commercial Center,11.0,60,29,20.0,580.0,0,32,On-Time
TRIP-10054,2024-01-02,18:10:30,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U405,State University North Gate,City Commercial Center,11.0,60,64,20.0,1280.0,0,32,On-Time
TRIP-10055,2024-01-02,10:15:30,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-04,North Ridge Terminal,Tech Valley Central,24.5,320,288,45.0,12960.0,0,35,On-Time
TRIP-10056,2024-01-02,12:45:30,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-08,North Ridge Terminal,Tech Valley Central,24.5,320,189,45.0,8505.0,0,35,On-Time
TRIP-10057,2024-01-02,16:15:00,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-02,North Ridge Terminal,Tech Valley Central,24.5,320,241,45.0,10845.0,0,35,On-Time
TRIP-10058,2024-01-02,19:20:30,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-08,North Ridge Terminal,Tech Valley Central,24.5,320,298,45.0,13410.0,1,35,On-Time
TRIP-10059,2024-01-02,20:10:45,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-07,North Ridge Terminal,Tech Valley Central,24.5,320,243,45.0,10935.0,0,35,On-Time
TRIP-10060,2024-01-02,21:50:45,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-02,North Ridge Terminal,Tech Valley Central,24.5,320,140,45.0,6300.0,0,35,On-Time
TRIP-10061,2024-01-02,11:50:00,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-03,East Suburb Terminal,Financial District Hub,21.0,320,208,40.0,8320.0,0,30,On-Time
TRIP-10062,2024-01-02,13:50:30,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-09,East Suburb Terminal,Financial District Hub,21.0,320,212,40.0,8480.0,0,30,On-Time
TRIP-10063,2024-01-02,14:45:45,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-05,East Suburb Terminal,Financial District Hub,21.0,320,222,40.0,8880.0,0,30,On-Time
TRIP-10064,2024-01-02,17:20:30,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-05,East Suburb Terminal,Financial District Hub,21.0,320,345,40.0,13800.0,0,30,On-Time
TRIP-10065,2024-01-02,18:50:00,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-09,East Suburb Terminal,Financial District Hub,21.0,320,345,40.0,13800.0,6,33,Moderate Delay
TRIP-10066,2024-01-02,10:20:45,RAIL-CST,Suburban Rail: Coast Line ⇄ Old City Junction,Suburban Rail,RAIL-EMU-504,Coastal Harbor Junction,Old City Main Junction,38.0,750,757,25.0,18925.0,0,55,On-Time
TRIP-10067,2024-01-02,22:40:45,RAIL-CST,Suburban Rail: Coast Line ⇄ Old City Junction,Suburban Rail,RAIL-EMU-507,Coastal Harbor Junction,Old City Main Junction,38.0,750,217,25.0,5425.0,7,59,Moderate Delay
TRIP-10068,2024-01-02,06:40:30,RAIL-EXT,Suburban Rail: Industrial Corridor ⇄ South Terminal,Suburban Rail,RAIL-EMU-604,Northern Industrial Zone,South Terminal Intermodal,42.5,750,216,30.0,6480.0,0,65,On-Time
TRIP-10069,2024-01-02,13:20:45,RAIL-EXT,Suburban Rail: Industrial Corridor ⇄ South Terminal,Suburban Rail,RAIL-EMU-603,Northern Industrial Zone,South Terminal Intermodal,42.5,750,374,30.0,11220.0,0,65,On-Time
TRIP-10070,2024-01-02,18:45:15,RAIL-EXT,Suburban Rail: Industrial Corridor ⇄ South Terminal,Suburban Rail,RAIL-EMU-605,Northern Industrial Zone,South Terminal Intermodal,42.5,750,810,30.0,24300.0,0,65,On-Time
TRIP-10071,2024-01-02,22:00:45,RAIL-EXT,Suburban Rail: Industrial Corridor ⇄ South Terminal,Suburban Rail,RAIL-EMU-604,Northern Industrial Zone,South Terminal Intermodal,42.5,750,233,30.0,6990.0,0,65,On-Time
TRIP-10072,2024-01-02,06:30:45,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-07,East Ring Hub,West Ring Hub,18.0,85,20,35.0,700.0,0,32,On-Time
TRIP-10073,2024-01-02,11:30:45,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-01,East Ring Hub,West Ring Hub,18.0,85,48,35.0,1680.0,1,32,On-Time
TRIP-10074,2024-01-02,20:40:15,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-01,East Ring Hub,West Ring Hub,18.0,85,70,35.0,2450.0,0,32,On-Time
TRIP-10075,2024-01-03,06:15:15,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E104,Central Railway Station,Cyber City Tech Park,16.5,60,13,30.0,390.0,0,45,On-Time
TRIP-10076,2024-01-03,12:50:30,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E102,Central Railway Station,Cyber City Tech Park,16.5,60,39,30.0,1170.0,10,53,Moderate Delay
TRIP-10077,2024-01-03,15:15:30,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E107,Central Railway Station,Cyber City Tech Park,16.5,60,34,30.0,1020.0,5,48,Moderate Delay
TRIP-10078,2024-01-03,08:20:00,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A201,International Airport Terminal 2,Downtown Central Terminal,28.0,50,54,90.0,4860.0,11,69,Moderate Delay
TRIP-10079,2024-01-03,12:40:45,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A207,International Airport Terminal 2,Downtown Central Terminal,28.0,50,31,90.0,2790.0,6,63,Moderate Delay
TRIP-10080,2024-01-03,15:50:00,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A208,International Airport Terminal 2,Downtown Central Terminal,28.0,50,32,90.0,2880.0,0,60,On-Time
TRIP-10081,2024-01-03,17:15:45,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A209,International Airport Terminal 2,Downtown Central Terminal,28.0,50,48,90.0,4320.0,0,60,On-Time
TRIP-10082,2024-01-03,17:30:30,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W308,Westside Mall Circle,South Harbor Port Gate,14.2,60,64,25.0,1600.0,0,38,On-Time
TRIP-10083,2024-01-03,19:20:45,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W308,Westside Mall Circle,South Harbor Port Gate,14.2,60,64,25.0,1600.0,0,38,On-Time
TRIP-10084,2024-01-03,20:40:15,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W305,Westside Mall Circle,South Harbor Port Gate,14.2,60,47,25.0,1175.0,0,38,On-Time
TRIP-10085,2024-01-03,21:30:00,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W308,Westside Mall Circle,South Harbor Port Gate,14.2,60,29,25.0,725.0,4,41,Moderate Delay
TRIP-10086,2024-01-03,13:50:00,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U406,State University North Gate,City Commercial Center,11.0,60,28,20.0,560.0,4,34,Moderate Delay
TRIP-10087,2024-01-03,16:50:30,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U408,State University North Gate,City Commercial Center,11.0,60,48,20.0,960.0,0,32,On-Time
TRIP-10088,2024-01-03,17:30:30,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U409,State University North Gate,City Commercial Center,11.0,60,60,20.0,1200.0,16,42,Major Delay
TRIP-10089,2024-01-03,21:15:15,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U409,State University North Gate,City Commercial Center,11.0,60,25,20.0,500.0,0,32,On-Time
TRIP-10090,2024-01-03,22:30:00,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U405,State University North Gate,City Commercial Center,11.0,60,20,20.0,400.0,0,32,On-Time
TRIP-10091,2024-01-03,06:30:15,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-01,North Ridge Terminal,Tech Valley Central,24.5,320,88,45.0,3960.0,0,35,On-Time
TRIP-10092,2024-01-03,10:30:45,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-08,North Ridge Terminal,Tech Valley Central,24.5,320,297,45.0,13365.0,1,35,On-Time
TRIP-10093,2024-01-03,14:10:00,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-10,North Ridge Terminal,Tech Valley Central,24.5,320,184,45.0,8280.0,1,35,On-Time
TRIP-10094,2024-01-03,20:30:00,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-10,North Ridge Terminal,Tech Valley Central,24.5,320,301,45.0,13545.0,7,40,Moderate Delay
TRIP-10095,2024-01-03,13:30:45,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-02,East Suburb Terminal,Financial District Hub,21.0,320,165,40.0,6600.0,0,30,On-Time
TRIP-10096,2024-01-03,18:20:15,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-02,East Suburb Terminal,Financial District Hub,21.0,320,345,40.0,13800.0,4,32,Moderate Delay
TRIP-10097,2024-01-03,20:15:00,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-01,East Suburb Terminal,Financial District Hub,21.0,320,242,40.0,9680.0,0,30,On-Time
TRIP-10098,2024-01-03,22:20:30,METRO-RED,Metro Red Line: East Suburb ⇄ Financial District,Metro,METRO-R-04,East Suburb Terminal,Financial District Hub,21.0,320,103,40.0,4120.0,0,30,On-Time
TRIP-10099,2024-01-03,07:20:15,RAIL-CST,Suburban Rail: Coast Line ⇄ Old City Junction,Suburban Rail,RAIL-EMU-502,Coastal Harbor Junction,Old City Main Junction,38.0,750,458,25.0,11450.0,0,55,On-Time
TRIP-10100,2024-01-03,12:30:30,RAIL-CST,Suburban Rail: Coast Line ⇄ Old City Junction,Suburban Rail,RAIL-EMU-504,Coastal Harbor Junction,Old City Main Junction,38.0,750,439,25.0,10975.0,0,55,On-Time
TRIP-10101,2024-01-03,19:30:45,RAIL-CST,Suburban Rail: Coast Line ⇄ Old City Junction,Suburban Rail,RAIL-EMU-506,Coastal Harbor Junction,Old City Main Junction,38.0,750,767,25.0,19175.0,0,55,On-Time
TRIP-10102,2024-01-03,06:20:00,RAIL-EXT,Suburban Rail: Industrial Corridor ⇄ South Terminal,Suburban Rail,RAIL-EMU-601,Northern Industrial Zone,South Terminal Intermodal,42.5,750,236,30.0,7080.0,0,65,On-Time
TRIP-10103,2024-01-03,07:15:45,RAIL-EXT,Suburban Rail: Industrial Corridor ⇄ South Terminal,Suburban Rail,RAIL-EMU-605,Northern Industrial Zone,South Terminal Intermodal,42.5,750,396,30.0,11880.0,0,65,On-Time
TRIP-10104,2024-01-03,14:45:45,RAIL-EXT,Suburban Rail: Industrial Corridor ⇄ South Terminal,Suburban Rail,RAIL-EMU-603,Northern Industrial Zone,South Terminal Intermodal,42.5,750,534,30.0,16020.0,0,65,On-Time
TRIP-10105,2024-01-03,09:50:30,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-06,East Ring Hub,West Ring Hub,18.0,85,91,35.0,3185.0,6,36,Moderate Delay
TRIP-10106,2024-01-03,11:30:30,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-01,East Ring Hub,West Ring Hub,18.0,85,45,35.0,1575.0,0,32,On-Time
TRIP-10107,2024-01-03,12:50:45,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-08,East Ring Hub,West Ring Hub,18.0,85,41,35.0,1435.0,0,32,On-Time
TRIP-10108,2024-01-03,17:50:00,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-08,East Ring Hub,West Ring Hub,18.0,85,84,35.0,2940.0,0,32,On-Time
TRIP-10109,2024-01-03,21:50:00,BRTS-01,BRTS Ring Corridor: Outer Express,BRTS,BRTS-OR-03,East Ring Hub,West Ring Hub,18.0,85,33,35.0,1155.0,0,32,On-Time
TRIP-10110,2024-01-04,06:10:45,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E105,Central Railway Station,Cyber City Tech Park,16.5,60,18,30.0,540.0,0,45,On-Time
TRIP-10111,2024-01-04,07:30:45,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E109,Central Railway Station,Cyber City Tech Park,16.5,60,35,30.0,1050.0,0,45,On-Time
TRIP-10112,2024-01-04,09:15:45,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E103,Central Railway Station,Cyber City Tech Park,16.5,60,63,30.0,1890.0,0,45,On-Time
TRIP-10113,2024-01-04,19:10:30,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E109,Central Railway Station,Cyber City Tech Park,16.5,60,64,30.0,1920.0,0,45,On-Time
TRIP-10114,2024-01-04,06:50:15,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A209,International Airport Terminal 2,Downtown Central Terminal,28.0,50,12,90.0,1080.0,0,60,On-Time
TRIP-10115,2024-01-04,10:45:45,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A204,International Airport Terminal 2,Downtown Central Terminal,28.0,50,54,90.0,4860.0,0,60,On-Time
TRIP-10116,2024-01-04,15:45:15,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A208,International Airport Terminal 2,Downtown Central Terminal,28.0,50,38,90.0,3420.0,0,60,On-Time
TRIP-10117,2024-01-04,17:45:45,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A203,International Airport Terminal 2,Downtown Central Terminal,28.0,50,54,90.0,4860.0,0,60,On-Time
TRIP-10118,2024-01-04,07:40:00,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W308,Westside Mall Circle,South Harbor Port Gate,14.2,60,36,25.0,900.0,0,38,On-Time
TRIP-10119,2024-01-04,10:00:15,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W308,Westside Mall Circle,South Harbor Port Gate,14.2,60,54,25.0,1350.0,0,38,On-Time
TRIP-10120,2024-01-04,14:30:30,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W306,Westside Mall Circle,South Harbor Port Gate,14.2,60,37,25.0,925.0,0,38,On-Time
TRIP-10121,2024-01-04,15:45:30,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W309,Westside Mall Circle,South Harbor Port Gate,14.2,60,42,25.0,1050.0,0,38,On-Time
TRIP-10122,2024-01-04,08:30:15,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U402,State University North Gate,City Commercial Center,11.0,60,64,20.0,1280.0,10,40,Moderate Delay
TRIP-10123,2024-01-04,13:50:15,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U401,State University North Gate,City Commercial Center,11.0,60,36,20.0,720.0,0,32,On-Time
TRIP-10124,2024-01-04,16:30:30,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U403,State University North Gate,City Commercial Center,11.0,60,47,20.0,940.0,9,37,Moderate Delay
TRIP-10125,2024-01-04,08:45:15,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-05,North Ridge Terminal,Tech Valley Central,24.5,320,345,45.0,15525.0,0,35,On-Time
TRIP-10126,2024-01-04,11:50:30,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-05,North Ridge Terminal,Tech Valley Central,24.5,320,217,45.0,9765.0,0,35,On-Time
TRIP-10127,2024-01-04,15:15:00,METRO-BLU,Metro Blue Line: North Ridge ⇄ Tech Valley,Metro,METRO-B-07,North Ridge Terminal,Tech Valley Central,24.5,320,210,45.0,9450.0,0,35,On-Time
